product_name,description,price,rating,review_title,review_text
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,5.0,"Like new, as described, works brilliantly","For a refurb, nice packaging, accessories, and the phone looked and felt and worked like new. Pleased"
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,5.0,Love,Love this! Definitely worth the money
"Apple iPhone 6S 16 GB Unlocked, Rose Gold US Version","['Apple iPhone 6s Unlocked Cellphone, Rose Gold, 16 GB (Refurbished)']",,1.0,One Star,esto no puedo opinar ya q fue un error
"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)","['With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple\'s A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.\xa0Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.']",226.0,5.0,Excellent!,This iphone arrived earlier than expected.  It is in excellent condition.  i could hardly tell it was used!!  Very happy customer!
"Apple iPhone 11, 64GB, Green - Unlocked (Renewed)","['Just the\xa0right\xa0amount of\xa0everything. A new dual‑lens rear system captures more of what you see and love. The fastest chip ever in a smartphone and all‑day battery life let you do more and charge less. And the highest‑quality video in a smartphone, so your memories look better\xa0than\xa0ever.']",302.25,2.0,Scratched,There is a scratch on the camera lens
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,5.0,Impressive,Easy to use
"Apple iPhone XS, US Version, 256GB, Space Gray - GSM Carriers (Renewed)","['iPhone XS features a 5. 8-inch Super Retina display with custom-built OLED panels for an HDR display that provides the industry’s best color accuracy, true blacks, and remarkable brightness. Advanced Face ID lets you securely unlock your iPhone, log in to apps, and pay with just a glance. The A12 Bionic chip with next-generation Neural Engine uses real-time machine learning to transform the way you experience photos, gaming, augmented reality, and more. A breakthrough 12MP dual-camera system takes your portraits to the next level with Portrait mode, Portrait Lighting, enhanced bokeh, and all-new Depth Control. Water resistance. And iOS 12—the most advanced mobile operating system—with powerful new tools that make iPhone more personal than ever.']",,5.0,"Great condition, Battery Health at 100%","Product came ahead of schedule. Is in great physical condition. No scratches or nics, and the batter health is surprisingly at 100%. Super happy with my phone."
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,5.0,As described arrived early,Good deal
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,2.0,Battery life is poor,Battery life is poor
"Apple iPhone 12, 128GB, Green - AT&T (Renewed)","['This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.']",447.97,5.0,Very Good Buy,"This phone came in very good condition, however the one downside was that the phone had a 86% maximum capacity. There was some very minor scratches but that most likely happened in shipping, however they were very unnoticeable. It also was a little damaged one part, but then again this is a refurbished iPhone so for what I payed it was absolutely perfect."
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,2.0,"If you decide to return it, it's not actually covered by a full refund.","The phone quality itself was good. Very minor scratches on the sides. Everything worked as it needed to. However the phone needed to be returned because I just found a better deal.<br /><br />First, you're not covered for return shipping because it's a third party seller as I found out the hard way. In my case shipping was $15.<br />Secondly, there's a hidden restocking fee that only some Third Party Sellers will issue according to customer service. I had ReFoned. They issued a $5 restocking fee.<br /><br />So the Amazon Renewed Guarantee is a bit misleading since it states it will cover you for a ""full"" refund."
"Apple iPhone 11 Pro Max, US Version, 512GB, Silver - Unlocked (Renewed)","['Shoot amazing videos and photos with the Ultra Wide, Wide, and Telephoto cameras. Capture your best low-light photos with Night mode. Watch HDR movies and shows on the Super Retina XDR display—the brightest iPhone display yet. Experience unprecedented performance with A13 Bionic for gaming, augmented reality (AR), and photography. And get all-day battery life¹ and a new level of water resistance.² All in the first iPhone powerful enough to be called Pro.']",600.0,5.0,Good working,Minor scratches nothing serious
"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)","['With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple\'s A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.\xa0Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.']",226.0,5.0,"Great Buy, I recommend this seller","I brought this phone as a replacement for my daughter after her XR was broken, the phone works great and in new like condition no scratches or dents, I added her SIM card and set it up the phone works great and no problems."
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,5.0,Good quality,"It’s a tad bigger than my iPhone 7. Big upgrade , I just didn’t know that I needed a whole new SIM card to activate the phone.  No big deal.  I love it tho.  Best decision I’ve made."
"Apple iPhone XS, US Version, 256GB, Space Gray - GSM Carriers (Renewed)","['iPhone XS features a 5. 8-inch Super Retina display with custom-built OLED panels for an HDR display that provides the industry’s best color accuracy, true blacks, and remarkable brightness. Advanced Face ID lets you securely unlock your iPhone, log in to apps, and pay with just a glance. The A12 Bionic chip with next-generation Neural Engine uses real-time machine learning to transform the way you experience photos, gaming, augmented reality, and more. A breakthrough 12MP dual-camera system takes your portraits to the next level with Portrait mode, Portrait Lighting, enhanced bokeh, and all-new Depth Control. Water resistance. And iOS 12—the most advanced mobile operating system—with powerful new tools that make iPhone more personal than ever.']",,5.0,Good value for that money,Battery more than 90%
"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)","['With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple\'s A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.\xa0Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.']",226.0,5.0,Quick and Easy,So far so good could not be happier would definitely buy from this seller again.
"Apple Iphone X, 256GB, Space Gray - Fully Unlocked (Renewed)","['Apple Iphone X, 256GB, Space Gray - Fully Unlocked (Renewed)']",295.0,5.0,Works perfectly and hooked to Verizon easily. Would buy another!!,"I charge every night and it last all day. Touch screen is perfect. Phone came in perfect condition. I bought in May and the battery had to be replaced. No apple stores around. It worked great for awhile, but I have been without 3 weeks prior to Christmas."
"Apple iPhone 6 Plus 64 GB Factory Unlocked, Silver","['Apple iPhone 6 Plus Unlocked Cellphone, Silver, 64 GB']",,5.0,Love it!!! 💟,Love this phone so much!!!
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,5.0,Good phone!,Good quality phone
"Apple iPhone XS Max, US Version, 256GB, Gold - AT&T (Renewed)","['iPhone XS Max has a 6.5-inch all-screen Super Retina display. The back is glass, and there\'s a stainless steel band around the frame. The side button is on the right side of the device. There are 12MP wide-angle and telephoto cameras on the back. There\'s a Quad-LED True Tone flash on the back and a SIM tray on the right side that holds a ""fourth form factor"" (4FF) nano-SIM card. The IMEI is etched on the SIM tray.']",284.99,4.0,All around great device,The phone it self is in great shape the only problem is there is a little line on the screen but it’s barely noticeable when the brightness is up but it’s still there
"Apple iPhone 11 Pro, 64GB, Midnight Green - Unlocked (Renewed)","['Shoot amazing videos and photos with the Ultra Wide, Wide, and Telephoto cameras. Capture your best low-light photos with Night mode. Watch HDR movies and shows on the Super Retina XDR display—the brightest iPhone display yet. Experience unprecedented performance with A13 Bionic for gaming, augmented reality (AR), and photography. All in the first iPhone powerful enough to be called Pro.']",378.18,2.0,Ugly,Battery drain very fast please stay away
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,2.0,Battery problems,It’s an iPhone alright but there’s something wrong with the one I got like there’s battery issues because it doesn’t stay on by itself
"Apple iPhone XS, US Version, 256GB, Space Gray - GSM Carriers (Renewed)","['iPhone XS features a 5. 8-inch Super Retina display with custom-built OLED panels for an HDR display that provides the industry’s best color accuracy, true blacks, and remarkable brightness. Advanced Face ID lets you securely unlock your iPhone, log in to apps, and pay with just a glance. The A12 Bionic chip with next-generation Neural Engine uses real-time machine learning to transform the way you experience photos, gaming, augmented reality, and more. A breakthrough 12MP dual-camera system takes your portraits to the next level with Portrait mode, Portrait Lighting, enhanced bokeh, and all-new Depth Control. Water resistance. And iOS 12—the most advanced mobile operating system—with powerful new tools that make iPhone more personal than ever.']",,5.0,Excellent Seller,The phone was literally brand new. No issues whatsoever. Excellent seller! Highly recommend!
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,5.0,This product is extremely reliable,This product is extremely efficient and came ready and able to use immediately and has been perfectly reliable ever since and couldn’t be happier with my choice of purchase.
"Apple iPhone XS Max, US Version, 256GB, Gold - AT&T (Renewed)","['iPhone XS Max has a 6.5-inch all-screen Super Retina display. The back is glass, and there\'s a stainless steel band around the frame. The side button is on the right side of the device. There are 12MP wide-angle and telephoto cameras on the back. There\'s a Quad-LED True Tone flash on the back and a SIM tray on the right side that holds a ""fourth form factor"" (4FF) nano-SIM card. The IMEI is etched on the SIM tray.']",284.99,1.0,SO BAD!!!,"This phone is so bad, the speaker is broken, the camera too, im really so sad to waste my money"
"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)","['With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple\'s A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.\xa0Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.']",226.0,5.0,Good Quality for Price,The phone arrived in good shape and promptly. The face recognition is great and the size is good for my diminishing reading vision. I would give it 5 stars if the battery lasted longer.
"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)","['With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple\'s A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.\xa0Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.']",226.0,4.0,"Activation issues, works now","Updated*** Arrived early, well packaged, no external issues, only a few very light scratches on front screen, none on back. Problem was with activation. Advertised as an unlocked for any carrier. However T-Mobile/sprint unable to activate this unlocked phone. The IMEI # was for a prepaid phone, so unable to use.  Wall plug and cord worked! Waiting on a replacement to arrive.  Refund issued, got unlocked replacement and same issue, unable to activate, returned and got a refund, bought another coral colored this time locked for T-Mobile/Sprint. Arrived early, great condition with a screen protector installed. Works great, no complaints. So after all the fiasco, unlocked phones will not work for T-Mobile/Sprint, locked ones to them will."
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,5.0,5Stars! Great buy!,"Great buy! iPhone 8 256GB still up and running good! Had one body drop mark and I dropped it as well adding another but once a case is on it’s irrelevant and unseen- overall I’m glad I purchased through this seller, will buy again soon I’m sure."
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,5.0,good value and great condition,Picked up a phone that would support wi-fi calling. This was in as new condition and a very good value
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,4.0,Better than expected with 85% battery.,"Even though the battery was reading 85% under 'Battery Health and Charging', the battery would not last more than 6-8 hours of light use. I took it to the Apple store and bought an OEM battery for around $50. Now it lasts all day and the phone that I received does work well. It is also in great condition. From the Apple store scan, this iphone 8 was actually originally purchased in 2019 so I was pleased it hadn't seen heavy abuse since its original release date (2017). Also, this is an AT&T iphone, and the SIM card from my old iphone 6s did activate it without a problem.  It also arrived with a screen protector and charge plug with cord. I would say if you buy this used budget for a new OEM battery - do not buy the Chinese ones and replace it yourself because it won't last. For around $210 used in excellent shape now with a new battery, this was a nice purchase and it was in better shape than expected."
"Apple iPhone XS Max, US Version, 256GB, Gold - AT&T (Renewed)","['iPhone XS Max has a 6.5-inch all-screen Super Retina display. The back is glass, and there\'s a stainless steel band around the frame. The side button is on the right side of the device. There are 12MP wide-angle and telephoto cameras on the back. There\'s a Quad-LED True Tone flash on the back and a SIM tray on the right side that holds a ""fourth form factor"" (4FF) nano-SIM card. The IMEI is etched on the SIM tray.']",284.99,5.0,Like new,"there was no evidence that this phone had been reconditioned, battery rates at 100%"
"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)","['With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple\'s A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.\xa0Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.']",226.0,5.0,Great Price,Phone fits our needs as we are not techies.
Apple iPhone 6 Plus 16GB Factory Unlocked GSM 4G LTE Cell Phone - Space Gray,"[""Ecran 5.5'' Puce A8 avec architecture 64 bits Coprocesseur de mouvement M8 Nouvel appareil photo iSight 8 mégapixels avec pixels de 1,5 µm Touch ID Capteur d'identité par empreinte digitale intégré au bouton principal Zoom de l'écran accès facile Caractéristiques Garantie L'étroite collaboration entre High-Tech Place et ses fournisseurs nous permet de vous proposer une garantie commerciale de 1 an. Contenu du colis Kit Iphone 6 Plus 16Go Gris Sidéral""]",,5.0,Five Stars,This is the second phone I've brought from the seller.  My daughter loves her phone
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,1.0,Wouldn't charge,Device worked well for a couple days then stopped charging entirely. Not even wireless charging worked.<br />If there were an option for zero stars i would select it. In retrospect it was a refurbished device so i guess i got what i paid for.
"Apple iPhone XS, US Version, 256GB, Space Gray - GSM Carriers (Renewed)","['iPhone XS features a 5. 8-inch Super Retina display with custom-built OLED panels for an HDR display that provides the industry’s best color accuracy, true blacks, and remarkable brightness. Advanced Face ID lets you securely unlock your iPhone, log in to apps, and pay with just a glance. The A12 Bionic chip with next-generation Neural Engine uses real-time machine learning to transform the way you experience photos, gaming, augmented reality, and more. A breakthrough 12MP dual-camera system takes your portraits to the next level with Portrait mode, Portrait Lighting, enhanced bokeh, and all-new Depth Control. Water resistance. And iOS 12—the most advanced mobile operating system—with powerful new tools that make iPhone more personal than ever.']",,1.0,Phone did not work.,"Within 6 hours of arriving and using the phone, the volume buttons stopped controlling the volume. Next, There was no sound from the phone at all- no ringtone, no videos nothing.Next, went the vibrations so I had no way of getting notified for a text or call. Then, I could not watch videos they would load and then screen went black. Finally, the wifi has a slash through it like wifi is not available and I have to restart it to fix it. I tried everything to troubleshoot. Not worth the purchase and time wasted."
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,1.0,Not a good charger,Charger shorted out already
"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)","['With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple\'s A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.\xa0Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.']",226.0,1.0,Mic didn’t work Face ID DIDN’T WORK,Mic didn’t work Face ID DIDN’T WORK
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,5.0,iPhone,"Great quality and awesome pricing, happy with my purchase"
"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)","['With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple\'s A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.\xa0Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.']",226.0,5.0,Not a knock off,I bought this phone a few months ago and I’m very happy with it I got it in coral and the colors beautiful the phone works well and for me it came with a screen protector all I needed was a case I would buy this again.
"Apple iPhone 11, 64GB, Green - Unlocked (Renewed)","['Just the\xa0right\xa0amount of\xa0everything. A new dual‑lens rear system captures more of what you see and love. The fastest chip ever in a smartphone and all‑day battery life let you do more and charge less. And the highest‑quality video in a smartphone, so your memories look better\xa0than\xa0ever.']",302.25,5.0,Good item,Good condition
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,5.0,IPhone fully unlocked and loaded,Just as described by seller package was sent promptly and in perfect conditions the iPhone is a great phone for tech savvy connoisseurs with a great screen resolution and battery life
"Apple iPhone 7 Plus 256 GB Unlocked, Rose Gold US Version",[],,1.0,Stolen device listing at Amazon,"I try to put att SIM card inside the phone, but they lock my SIM card twice (two different number att SIM card ) , I went to att dealer ,they check for me ,said this phone was report stolen ,and is stolen device ."
